Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;263
Nome da estação:;Carapicuíba

Data;Hora;Média Horária
;;PRESS(Pressão Atmosférica) - hPa
01/01/2024;01:00;915,0
01/01/2024;02:00;914,7
01/01/2024;03:00;914,2
01/01/2024;04:00;913,8
01/01/2024;05:00;913,9
01/01/2024;06:00;914,0
01/01/2024;07:00;914,1
01/01/2024;08:00;914,5
01/01/2024;09:00;914,9
01/01/2024;10:00;915,2
01/01/2024;11:00;915,3
01/01/2024;12:00;915,0
01/01/2024;13:00;914,5
01/01/2024;14:00;913,7
01/01/2024;15:00;912,9
01/01/2024;16:00;912,3
01/01/2024;17:00;912,0
01/01/2024;18:00;912,0
01/01/2024;19:00;912,2
01/01/2024;20:00;912,8
01/01/2024;21:00;913,6
01/01/2024;22:00;914,4
01/01/2024;23:00;914,7
01/01/2024;24:00;914,4
02/01/2024;01:00;913,7
02/01/2024;02:00;913,1
02/01/2024;03:00;912,6
02/01/2024;04:00;912,2
02/01/2024;05:00;912,2
02/01/2024;06:00;912,4
02/01/2024;07:00;912,8
02/01/2024;08:00;913,1
02/01/2024;09:00;913,3
02/01/2024;10:00;912,9
02/01/2024;11:00;912,5
02/01/2024;12:00;911,9
02/01/2024;13:00;911,4
02/01/2024;14:00;910,8
02/01/2024;15:00;910,4
02/01/2024;16:00;910,2
02/01/2024;17:00;910,5
02/01/2024;18:00;910,6
02/01/2024;19:00;911,2
02/01/2024;20:00;911,8
02/01/2024;21:00;912,2
02/01/2024;22:00;912,3
02/01/2024;23:00;912,5
02/01/2024;24:00;912,2
03/01/2024;01:00;911,6
03/01/2024;02:00;911,2
03/01/2024;03:00;910,8
03/01/2024;04:00;910,4
03/01/2024;05:00;910,4
03/01/2024;06:00;910,8
03/01/2024;07:00;911,0
03/01/2024;08:00;911,4
03/01/2024;09:00;911,7
03/01/2024;10:00;911,9
03/01/2024;11:00;911,7
03/01/2024;12:00;911,0
03/01/2024;13:00;910,3
03/01/2024;14:00;909,6
03/01/2024;15:00;909,5
03/01/2024;16:00;909,6
03/01/2024;17:00;910,0
03/01/2024;18:00;910,0
03/01/2024;19:00;910,9
03/01/2024;20:00;911,6
03/01/2024;21:00;912,0
03/01/2024;22:00;912,1
03/01/2024;23:00;912,3
03/01/2024;24:00;912,1
04/01/2024;01:00;911,8
04/01/2024;02:00;911,3
04/01/2024;03:00;911,0
04/01/2024;04:00;910,7
04/01/2024;05:00;910,6
04/01/2024;06:00;911,1
04/01/2024;07:00;911,5
04/01/2024;08:00;912,0
04/01/2024;09:00;912,4
04/01/2024;10:00;912,5
04/01/2024;11:00;912,3
04/01/2024;12:00;912,0
04/01/2024;13:00;911,8
04/01/2024;14:00;911,6
04/01/2024;15:00;911,5
04/01/2024;16:00;911,1
04/01/2024;17:00;910,8
04/01/2024;18:00;911,2
04/01/2024;19:00;912,1
04/01/2024;20:00;912,7
04/01/2024;21:00;913,2
04/01/2024;22:00;913,6
04/01/2024;23:00;913,8
04/01/2024;24:00;913,4
05/01/2024;01:00;912,8
05/01/2024;02:00;912,1
05/01/2024;03:00;911,4
05/01/2024;04:00;911,2
05/01/2024;05:00;911,4
05/01/2024;06:00;912,0
05/01/2024;07:00;912,3
05/01/2024;08:00;912,6
05/01/2024;09:00;913,1
05/01/2024;10:00;913,3
05/01/2024;11:00;913,3
05/01/2024;12:00;912,9
05/01/2024;13:00;912,5
05/01/2024;14:00;912,0
05/01/2024;15:00;911,5
05/01/2024;16:00;911,2
05/01/2024;17:00;911,0
05/01/2024;18:00;911,4
05/01/2024;19:00;911,9
05/01/2024;20:00;912,6
05/01/2024;21:00;913,1
05/01/2024;22:00;913,6
05/01/2024;23:00;913,8
05/01/2024;24:00;913,6
06/01/2024;01:00;912,8
06/01/2024;02:00;912,4
06/01/2024;03:00;912,1
06/01/2024;04:00;912,0
06/01/2024;05:00;912,4
06/01/2024;06:00;912,7
06/01/2024;07:00;913,1
06/01/2024;08:00;913,5
06/01/2024;09:00;913,9
06/01/2024;10:00;913,9
06/01/2024;11:00;913,5
06/01/2024;12:00;913,4
06/01/2024;13:00;913,1
06/01/2024;14:00;912,7
06/01/2024;15:00;912,1
06/01/2024;16:00;911,5
06/01/2024;17:00;911,4
06/01/2024;18:00;911,6
06/01/2024;19:00;912,3
06/01/2024;20:00;913,2
06/01/2024;21:00;913,8
06/01/2024;22:00;914,1
06/01/2024;23:00;914,4
06/01/2024;24:00;913,8
07/01/2024;01:00;913,3
07/01/2024;02:00;912,7
07/01/2024;03:00;912,3
07/01/2024;04:00;912,1
07/01/2024;05:00;912,3
07/01/2024;06:00;912,7
07/01/2024;07:00;913,0
07/01/2024;08:00;913,5
07/01/2024;09:00;913,7
07/01/2024;10:00;913,8
07/01/2024;11:00;913,6
07/01/2024;12:00;913,1
07/01/2024;13:00;912,4
07/01/2024;14:00;911,6
07/01/2024;15:00;910,8
07/01/2024;16:00;910,8
07/01/2024;17:00;910,8
07/01/2024;18:00;910,9
07/01/2024;19:00;911,4
07/01/2024;20:00;912,1
07/01/2024;21:00;913,0
07/01/2024;22:00;913,6
07/01/2024;23:00;913,6
07/01/2024;24:00;913,2
08/01/2024;01:00;912,5
08/01/2024;02:00;912,3
08/01/2024;03:00;911,6
08/01/2024;04:00;911,4
08/01/2024;05:00;911,4
08/01/2024;06:00;911,7
08/01/2024;07:00;912,4
08/01/2024;08:00;913,0
08/01/2024;09:00;913,1
08/01/2024;10:00;913,0
08/01/2024;11:00;912,9
08/01/2024;12:00;912,7
08/01/2024;13:00;912,1
08/01/2024;14:00;911,2
08/01/2024;15:00;910,4
08/01/2024;16:00;910,0
08/01/2024;17:00;910,5
08/01/2024;18:00;911,7
08/01/2024;19:00;912,8
08/01/2024;20:00;913,5
08/01/2024;21:00;913,7
08/01/2024;22:00;913,1
08/01/2024;23:00;913,2
08/01/2024;24:00;913,0
09/01/2024;01:00;912,8
09/01/2024;02:00;913,0
09/01/2024;03:00;913,1
09/01/2024;04:00;913,3
09/01/2024;05:00;914,5
09/01/2024;06:00;915,3
09/01/2024;07:00;915,8
09/01/2024;08:00;916,1
09/01/2024;09:00;916,0
09/01/2024;10:00;915,7
09/01/2024;11:00;915,2
09/01/2024;12:00;914,6
09/01/2024;13:00;913,7
09/01/2024;14:00;912,8
09/01/2024;15:00;912,0
09/01/2024;16:00;911,2
09/01/2024;17:00;910,5
09/01/2024;18:00;911,5
09/01/2024;19:00;912,3
09/01/2024;20:00;913,0
09/01/2024;21:00;913,8
09/01/2024;22:00;914,5
09/01/2024;23:00;914,8
09/01/2024;24:00;914,8
10/01/2024;01:00;914,4
10/01/2024;02:00;913,9
10/01/2024;03:00;913,6
10/01/2024;04:00;913,6
10/01/2024;05:00;913,5
10/01/2024;06:00;913,6
10/01/2024;07:00;913,8
10/01/2024;08:00;914,0
10/01/2024;09:00;914,2
10/01/2024;10:00;914,2
10/01/2024;11:00;913,9
10/01/2024;12:00;913,4
10/01/2024;13:00;913,0
10/01/2024;14:00;912,6
10/01/2024;15:00;912,0
10/01/2024;16:00;911,3
10/01/2024;17:00;910,6
10/01/2024;18:00;911,0
10/01/2024;19:00;912,6
10/01/2024;20:00;913,6
10/01/2024;21:00;914,4
10/01/2024;22:00;915,0
10/01/2024;23:00;915,5
10/01/2024;24:00;915,2
11/01/2024;01:00;914,3
11/01/2024;02:00;913,4
11/01/2024;03:00;912,4
11/01/2024;04:00;911,7
11/01/2024;05:00;911,5
11/01/2024;06:00;912,2
11/01/2024;07:00;912,9
11/01/2024;08:00;913,3
11/01/2024;09:00;913,3
11/01/2024;10:00;913,5
11/01/2024;11:00;912,8
11/01/2024;12:00;912,8
11/01/2024;13:00;912,4
11/01/2024;14:00;911,6
11/01/2024;15:00;910,7
11/01/2024;16:00;909,8
11/01/2024;17:00;909,4
11/01/2024;18:00;910,3
11/01/2024;19:00;910,8
11/01/2024;20:00;911,3
11/01/2024;21:00;911,8
11/01/2024;22:00;912,4
11/01/2024;23:00;912,4
11/01/2024;24:00;911,5
12/01/2024;01:00;911,2
12/01/2024;02:00;910,8
12/01/2024;03:00;910,6
12/01/2024;04:00;910,5
12/01/2024;05:00;909,9
12/01/2024;06:00;909,9
12/01/2024;07:00;910,4
12/01/2024;08:00;911,1
12/01/2024;09:00;912,2
12/01/2024;10:00;913,0
12/01/2024;11:00;913,1
12/01/2024;12:00;912,5
12/01/2024;13:00;911,7
12/01/2024;14:00;911,3
12/01/2024;15:00;910,8
12/01/2024;16:00;910,6
12/01/2024;17:00;910,6
12/01/2024;18:00;911,1
12/01/2024;19:00;912,2
12/01/2024;20:00;913,2
12/01/2024;21:00;914,0
12/01/2024;22:00;914,5
12/01/2024;23:00;914,8
12/01/2024;24:00;914,8
13/01/2024;01:00;914,2
13/01/2024;02:00;913,8
13/01/2024;03:00;913,3
13/01/2024;04:00;913,0
13/01/2024;05:00;913,2
13/01/2024;06:00;914,0
13/01/2024;07:00;914,8
13/01/2024;08:00;914,9
13/01/2024;09:00;915,3
13/01/2024;10:00;915,6
13/01/2024;11:00;915,8
13/01/2024;12:00;915,7
13/01/2024;13:00;915,3
13/01/2024;14:00;914,9
13/01/2024;15:00;914,5
13/01/2024;16:00;914,3
13/01/2024;17:00;914,3
13/01/2024;18:00;914,7
13/01/2024;19:00;915,3
13/01/2024;20:00;915,8
13/01/2024;21:00;916,3
13/01/2024;22:00;916,7
13/01/2024;23:00;917,1
13/01/2024;24:00;917,0
14/01/2024;01:00;916,5
14/01/2024;02:00;916,0
14/01/2024;03:00;915,5
14/01/2024;04:00;915,3
14/01/2024;05:00;915,2
14/01/2024;06:00;915,6
14/01/2024;07:00;916,2
14/01/2024;08:00;916,4
14/01/2024;09:00;916,4
14/01/2024;10:00;916,2
14/01/2024;11:00;915,8
14/01/2024;12:00;915,3
14/01/2024;13:00;914,7
14/01/2024;14:00;914,2
14/01/2024;15:00;913,6
14/01/2024;16:00;912,6
14/01/2024;17:00;912,0
14/01/2024;18:00;911,8
14/01/2024;19:00;912,1
14/01/2024;20:00;913,0
14/01/2024;21:00;913,9
14/01/2024;22:00;914,8
14/01/2024;23:00;915,3
14/01/2024;24:00;915,3
15/01/2024;01:00;914,9
15/01/2024;02:00;914,3
15/01/2024;03:00;914,1
15/01/2024;04:00;913,7
15/01/2024;05:00;913,5
15/01/2024;06:00;914,0
15/01/2024;07:00;914,7
15/01/2024;08:00;915,1
15/01/2024;09:00;915,2
15/01/2024;10:00;915,4
15/01/2024;11:00;914,9
15/01/2024;12:00;914,8
15/01/2024;13:00;914,6
15/01/2024;14:00;914,1
15/01/2024;15:00;913,2
15/01/2024;16:00;912,7
15/01/2024;17:00;912,3
15/01/2024;18:00;913,0
15/01/2024;19:00;913,3
15/01/2024;20:00;913,7
15/01/2024;21:00;914,1
15/01/2024;22:00;914,6
15/01/2024;23:00;914,9
15/01/2024;24:00;914,6
16/01/2024;01:00;914,4
16/01/2024;02:00;914,3
16/01/2024;03:00;914,1
16/01/2024;04:00;914,0
16/01/2024;05:00;914,1
16/01/2024;06:00;914,4
16/01/2024;07:00;915,1
16/01/2024;08:00;915,5
16/01/2024;09:00;915,5
16/01/2024;10:00;915,5
16/01/2024;11:00;915,1
16/01/2024;12:00;914,5
16/01/2024;13:00;913,9
16/01/2024;14:00;913,2
16/01/2024;15:00;912,6
16/01/2024;16:00;912,4
16/01/2024;17:00;912,1
16/01/2024;18:00;912,2
16/01/2024;19:00;912,7
16/01/2024;20:00;913,4
16/01/2024;21:00;913,7
16/01/2024;22:00;914,0
16/01/2024;23:00;914,3
16/01/2024;24:00;914,3
17/01/2024;01:00;914,2
17/01/2024;02:00;914,2
17/01/2024;03:00;914,2
17/01/2024;04:00;914,1
17/01/2024;05:00;914,0
17/01/2024;06:00;914,2
17/01/2024;07:00;914,5
17/01/2024;08:00;915,0
17/01/2024;09:00;915,3
17/01/2024;10:00;915,8
17/01/2024;11:00;915,8
17/01/2024;12:00;915,4
17/01/2024;13:00;914,7
17/01/2024;14:00;913,8
17/01/2024;15:00;913,1
17/01/2024;16:00;912,7
17/01/2024;17:00;913,2
17/01/2024;18:00;914,1
17/01/2024;19:00;914,5
17/01/2024;20:00;915,1
17/01/2024;21:00;915,3
17/01/2024;22:00;914,8
17/01/2024;23:00;914,5
17/01/2024;24:00;914,6
18/01/2024;01:00;914,0
18/01/2024;02:00;913,3
18/01/2024;03:00;913,1
18/01/2024;04:00;913,0
18/01/2024;05:00;913,1
18/01/2024;06:00;913,6
18/01/2024;07:00;914,2
18/01/2024;08:00;914,8
18/01/2024;09:00;915,1
18/01/2024;10:00;915,0
18/01/2024;11:00;914,6
18/01/2024;12:00;914,1
18/01/2024;13:00;913,5
18/01/2024;14:00;912,6
18/01/2024;15:00;911,7
18/01/2024;16:00;911,5
18/01/2024;17:00;911,4
18/01/2024;18:00;911,9
18/01/2024;19:00;912,8
18/01/2024;20:00;913,3
18/01/2024;21:00;914,0
18/01/2024;22:00;914,5
18/01/2024;23:00;914,6
18/01/2024;24:00;915,9
19/01/2024;01:00;915,3
19/01/2024;02:00;913,5
19/01/2024;03:00;912,0
19/01/2024;04:00;912,5
19/01/2024;05:00;912,5
19/01/2024;06:00;912,6
19/01/2024;07:00;913,2
19/01/2024;08:00;913,8
19/01/2024;09:00;914,2
19/01/2024;10:00;913,9
19/01/2024;11:00;913,5
19/01/2024;12:00;913,1
19/01/2024;13:00;912,4
19/01/2024;14:00;911,4
19/01/2024;15:00;910,5
19/01/2024;16:00;909,8
19/01/2024;17:00;909,0
19/01/2024;18:00;909,2
19/01/2024;19:00;909,6
19/01/2024;20:00;910,6
19/01/2024;21:00;911,8
19/01/2024;22:00;912,2
19/01/2024;23:00;912,3
19/01/2024;24:00;912,0
20/01/2024;01:00;911,7
20/01/2024;02:00;911,3
20/01/2024;03:00;910,9
20/01/2024;04:00;910,5
20/01/2024;05:00;910,3
20/01/2024;06:00;910,4
20/01/2024;07:00;910,8
20/01/2024;08:00;911,3
20/01/2024;09:00;911,3
20/01/2024;10:00;911,3
20/01/2024;11:00;911,1
20/01/2024;12:00;910,8
20/01/2024;13:00;910,6
20/01/2024;14:00;909,9
20/01/2024;15:00;909,0
20/01/2024;16:00;908,8
20/01/2024;17:00;908,7
