Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;289
Nome da estação:;Guaratinguetá

Data;Hora;Média Horária
;;PRESS(Pressão Atmosférica) - hPa
01/01/2024;01:00;949,3
01/01/2024;02:00;949,0
01/01/2024;03:00;948,3
01/01/2024;04:00;947,8
01/01/2024;05:00;947,8
01/01/2024;06:00;947,9
01/01/2024;07:00;948,1
01/01/2024;08:00;948,5
01/01/2024;09:00;949,0
01/01/2024;10:00;949,1
01/01/2024;11:00;949,0
01/01/2024;12:00;948,7
01/01/2024;13:00;948,2
01/01/2024;14:00;947,6
01/01/2024;15:00;946,8
01/01/2024;16:00;946,4
01/01/2024;17:00;946,2
01/01/2024;18:00;946,3
01/01/2024;19:00;946,5
01/01/2024;20:00;947,1
01/01/2024;21:00;947,5
01/01/2024;22:00;948,2
01/01/2024;23:00;948,5
01/01/2024;24:00;948,4
02/01/2024;01:00;947,8
02/01/2024;02:00;947,1
02/01/2024;03:00;946,6
02/01/2024;04:00;946,4
02/01/2024;05:00;946,6
02/01/2024;06:00;946,7
02/01/2024;07:00;946,9
02/01/2024;08:00;947,2
02/01/2024;09:00;947,0
02/01/2024;10:00;946,7
02/01/2024;11:00;946,1
02/01/2024;12:00;945,5
02/01/2024;13:00;945,0
02/01/2024;14:00;944,1
02/01/2024;15:00;943,3
02/01/2024;16:00;942,4
02/01/2024;17:00;941,8
02/01/2024;18:00;941,9
02/01/2024;19:00;942,9
02/01/2024;20:00;943,9
02/01/2024;21:00;945,1
02/01/2024;22:00;945,9
02/01/2024;23:00;946,2
02/01/2024;24:00;945,9
03/01/2024;01:00;945,3
03/01/2024;02:00;944,7
03/01/2024;03:00;944,3
03/01/2024;04:00;944,0
03/01/2024;05:00;943,9
03/01/2024;06:00;943,8
03/01/2024;07:00;944,3
03/01/2024;08:00;944,7
03/01/2024;09:00;945,0
03/01/2024;10:00;944,8
03/01/2024;11:00;944,3
03/01/2024;12:00;943,7
03/01/2024;13:00;942,8
03/01/2024;14:00;942,0
03/01/2024;15:00;941,8
03/01/2024;16:00;941,8
03/01/2024;17:00;941,8
03/01/2024;18:00;942,1
03/01/2024;19:00;942,8
03/01/2024;20:00;943,3
03/01/2024;21:00;944,3
03/01/2024;22:00;945,0
03/01/2024;23:00;945,4
03/01/2024;24:00;945,3
04/01/2024;01:00;944,9
04/01/2024;02:00;944,2
04/01/2024;03:00;943,7
04/01/2024;04:00;943,4
04/01/2024;05:00;943,5
04/01/2024;06:00;943,6
04/01/2024;07:00;944,2
04/01/2024;08:00;944,7
04/01/2024;09:00;945,1
04/01/2024;10:00;945,3
04/01/2024;11:00;944,9
04/01/2024;12:00;944,5
04/01/2024;13:00;944,0
04/01/2024;14:00;943,5
04/01/2024;15:00;942,7
04/01/2024;16:00;942,0
04/01/2024;17:00;941,6
04/01/2024;18:00;941,8
04/01/2024;19:00;942,9
04/01/2024;20:00;943,8
04/01/2024;21:00;944,6
04/01/2024;22:00;945,5
04/01/2024;23:00;945,9
04/01/2024;24:00;945,8
05/01/2024;01:00;945,3
05/01/2024;02:00;944,8
05/01/2024;03:00;944,2
05/01/2024;04:00;943,9
05/01/2024;05:00;944,0
05/01/2024;06:00;944,4
05/01/2024;07:00;944,9
05/01/2024;08:00;945,2
05/01/2024;09:00;945,8
05/01/2024;10:00;945,7
05/01/2024;11:00;945,5
05/01/2024;12:00;944,9
05/01/2024;13:00;944,4
05/01/2024;14:00;943,6
