Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;270
Nome da estação:;Marg.Tietê-Pte Remédios

Data;Hora;Média Horária
;;PRESS(Pressão Atmosférica) - hPa
01/01/2024;01:00;933,8
01/01/2024;02:00;933,4
01/01/2024;03:00;933,0
01/01/2024;04:00;932,5
01/01/2024;05:00;932,6
01/01/2024;06:00;932,8
01/01/2024;07:00;932,8
01/01/2024;08:00;933,3
01/01/2024;09:00;933,7
01/01/2024;10:00;934,1
01/01/2024;11:00;934,2
01/01/2024;12:00;933,9
01/01/2024;13:00;933,3
01/01/2024;14:00;932,6
01/01/2024;15:00;931,7
01/01/2024;16:00;931,1
01/01/2024;17:00;930,8
01/01/2024;18:00;930,8
01/01/2024;19:00;931,1
01/01/2024;20:00;931,5
01/01/2024;21:00;932,2
01/01/2024;22:00;933,0
01/01/2024;23:00;933,4
01/01/2024;24:00;933,1
02/01/2024;01:00;932,4
02/01/2024;02:00;931,8
02/01/2024;03:00;931,4
02/01/2024;04:00;930,9
02/01/2024;05:00;930,9
02/01/2024;06:00;931,1
02/01/2024;07:00;931,5
02/01/2024;08:00;931,8
02/01/2024;09:00;932,0
02/01/2024;10:00;931,7
02/01/2024;11:00;931,1
02/01/2024;12:00;930,6
02/01/2024;13:00;930,1
02/01/2024;14:00;929,5
02/01/2024;15:00;929,1
02/01/2024;16:00;929,1
02/01/2024;17:00;929,5
02/01/2024;18:00;929,5
02/01/2024;19:00;930,0
02/01/2024;20:00;930,5
02/01/2024;21:00;930,8
02/01/2024;22:00;931,0
02/01/2024;23:00;931,1
02/01/2024;24:00;930,8
03/01/2024;01:00;930,3
03/01/2024;02:00;929,8
03/01/2024;03:00;929,3
03/01/2024;04:00;929,0
03/01/2024;05:00;928,9
03/01/2024;06:00;929,3
03/01/2024;07:00;929,6
03/01/2024;08:00;930,0
03/01/2024;09:00;930,3
03/01/2024;10:00;930,5
03/01/2024;11:00;930,3
03/01/2024;12:00;929,7
03/01/2024;13:00;928,8
03/01/2024;14:00;928,1
03/01/2024;15:00;928,2
03/01/2024;16:00;928,5
03/01/2024;17:00;928,8
03/01/2024;18:00;928,9
03/01/2024;19:00;929,8
03/01/2024;20:00;930,3
03/01/2024;21:00;930,6
03/01/2024;22:00;930,7
03/01/2024;23:00;930,9
03/01/2024;24:00;930,6
04/01/2024;01:00;930,3
04/01/2024;02:00;929,9
04/01/2024;03:00;929,7
04/01/2024;04:00;929,3
04/01/2024;05:00;929,1
04/01/2024;06:00;929,6
04/01/2024;07:00;930,3
04/01/2024;08:00;930,8
04/01/2024;09:00;931,2
04/01/2024;10:00;931,3
04/01/2024;11:00;931,1
04/01/2024;12:00;930,9
04/01/2024;13:00;930,7
04/01/2024;14:00;930,6
04/01/2024;15:00;930,5
04/01/2024;16:00;930,0
04/01/2024;17:00;929,8
04/01/2024;18:00;930,1
04/01/2024;19:00;930,8
04/01/2024;20:00;931,3
04/01/2024;21:00;931,9
04/01/2024;22:00;932,2
04/01/2024;23:00;932,4
04/01/2024;24:00;932,0
05/01/2024;01:00;931,5
05/01/2024;02:00;930,7
05/01/2024;03:00;930,1
05/01/2024;04:00;929,8
05/01/2024;05:00;930,0
05/01/2024;06:00;930,6
05/01/2024;07:00;931,1
05/01/2024;08:00;931,5
05/01/2024;09:00;931,9
05/01/2024;10:00;932,1
05/01/2024;11:00;932,0
05/01/2024;12:00;931,6
05/01/2024;13:00;931,2
05/01/2024;14:00;930,7
05/01/2024;15:00;930,3
05/01/2024;16:00;930,0
05/01/2024;17:00;929,9
05/01/2024;18:00;930,2
05/01/2024;19:00;930,6
05/01/2024;20:00;931,3
05/01/2024;21:00;931,7
05/01/2024;22:00;932,3
05/01/2024;23:00;932,4
05/01/2024;24:00;932,2
06/01/2024;01:00;931,5
06/01/2024;02:00;931,1
06/01/2024;03:00;930,8
06/01/2024;04:00;930,7
06/01/2024;05:00;931,0
06/01/2024;06:00;931,4
06/01/2024;07:00;932,0
06/01/2024;08:00;932,3
06/01/2024;09:00;932,7
06/01/2024;10:00;932,6
06/01/2024;11:00;932,3
06/01/2024;12:00;932,0
06/01/2024;13:00;931,8
06/01/2024;14:00;931,5
06/01/2024;15:00;930,8
06/01/2024;16:00;930,3
06/01/2024;17:00;930,3
06/01/2024;18:00;930,4
06/01/2024;19:00;931,0
06/01/2024;20:00;931,8
06/01/2024;21:00;932,4
06/01/2024;22:00;932,8
06/01/2024;23:00;933,1
06/01/2024;24:00;932,6
07/01/2024;01:00;932,0
07/01/2024;02:00;931,3
07/01/2024;03:00;930,9
07/01/2024;04:00;930,8
07/01/2024;05:00;931,0
07/01/2024;06:00;931,5
07/01/2024;07:00;931,9
07/01/2024;08:00;932,3
07/01/2024;09:00;932,4
07/01/2024;10:00;932,5
07/01/2024;11:00;932,2
07/01/2024;12:00;931,7
07/01/2024;13:00;931,0
07/01/2024;14:00;930,2
07/01/2024;15:00;929,4
07/01/2024;16:00;929,6
07/01/2024;17:00;929,6
07/01/2024;18:00;929,5
