Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;72
Nome da estação:;Parque D.Pedro II

Data;Hora;Média Horária
;;PRESS(Pressão Atmosférica) - hPa
01/01/2024;01:00;924,4
01/01/2024;02:00;924,0
01/01/2024;03:00;923,6
01/01/2024;04:00;923,1
01/01/2024;05:00;923,2
01/01/2024;06:00;923,5
01/01/2024;07:00;923,5
01/01/2024;08:00;923,9
01/01/2024;09:00;924,1
01/01/2024;10:00;924,4
01/01/2024;11:00;924,4
01/01/2024;12:00;924,1
01/01/2024;13:00;923,5
01/01/2024;14:00;922,8
01/01/2024;15:00;921,9
01/01/2024;16:00;921,3
01/01/2024;17:00;921,1
01/01/2024;18:00;921,2
01/01/2024;19:00;921,5
01/01/2024;20:00;922,1
01/01/2024;21:00;922,9
01/01/2024;22:00;923,6
01/01/2024;23:00;924,0
01/01/2024;24:00;923,7
02/01/2024;01:00;922,9
02/01/2024;02:00;922,4
02/01/2024;03:00;921,9
02/01/2024;04:00;921,6
02/01/2024;05:00;921,5
02/01/2024;06:00;921,8
02/01/2024;07:00;922,2
02/01/2024;08:00;922,4
02/01/2024;09:00;922,4
02/01/2024;10:00;921,9
02/01/2024;11:00;921,3
02/01/2024;12:00;920,7
02/01/2024;13:00;920,1
02/01/2024;14:00;919,5
02/01/2024;15:00;919,1
02/01/2024;16:00;919,1
02/01/2024;17:00;919,5
02/01/2024;18:00;919,7
02/01/2024;19:00;920,3
02/01/2024;20:00;921,1
02/01/2024;21:00;921,5
02/01/2024;22:00;921,7
02/01/2024;23:00;921,7
02/01/2024;24:00;921,4
03/01/2024;01:00;920,8
03/01/2024;02:00;920,3
03/01/2024;03:00;919,9
03/01/2024;04:00;919,6
03/01/2024;05:00;919,6
03/01/2024;06:00;919,9
03/01/2024;07:00;920,2
03/01/2024;08:00;920,3
03/01/2024;09:00;920,5
03/01/2024;10:00;920,5
03/01/2024;11:00;920,2
03/01/2024;12:00;919,5
03/01/2024;13:00;918,5
03/01/2024;14:00;917,9
03/01/2024;15:00;918,3
03/01/2024;16:00;918,5
03/01/2024;17:00;919,0
03/01/2024;18:00;919,2
03/01/2024;19:00;920,1
03/01/2024;20:00;920,8
03/01/2024;21:00;921,1
03/01/2024;22:00;921,2
03/01/2024;23:00;921,2
03/01/2024;24:00;920,9
04/01/2024;01:00;920,7
04/01/2024;02:00;920,2
04/01/2024;03:00;920,0
04/01/2024;04:00;919,7
04/01/2024;05:00;919,6
04/01/2024;06:00;920,1
04/01/2024;07:00;920,6
