Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;272
Nome da estação:;S.Bernardo-Centro

Data;Hora;Média Horária
;;PRESS(Pressão Atmosférica) - hPa
01/01/2024;01:00;925,7
01/01/2024;02:00;925,2
01/01/2024;03:00;924,9
01/01/2024;04:00;924,4
01/01/2024;05:00;924,6
01/01/2024;06:00;924,7
01/01/2024;07:00;924,8
01/01/2024;08:00;925,2
01/01/2024;09:00;925,5
01/01/2024;10:00;925,8
01/01/2024;11:00;926,0
01/01/2024;12:00;925,9
01/01/2024;13:00;925,3
01/01/2024;14:00;924,7
01/01/2024;15:00;923,9
01/01/2024;16:00;923,3
01/01/2024;17:00;923,0
01/01/2024;18:00;923,0
01/01/2024;19:00;923,1
01/01/2024;20:00;923,6
01/01/2024;21:00;924,3
01/01/2024;22:00;925,1
01/01/2024;23:00;925,4
01/01/2024;24:00;925,1
02/01/2024;01:00;924,4
02/01/2024;02:00;923,7
02/01/2024;03:00;923,2
02/01/2024;04:00;922,8
02/01/2024;05:00;922,6
02/01/2024;06:00;922,9
02/01/2024;07:00;923,2
02/01/2024;08:00;923,6
02/01/2024;09:00;923,8
02/01/2024;10:00;923,6
02/01/2024;11:00;923,2
02/01/2024;12:00;922,7
02/01/2024;13:00;922,3
02/01/2024;14:00;921,9
02/01/2024;15:00;921,7
02/01/2024;16:00;921,4
02/01/2024;17:00;921,3
02/01/2024;18:00;921,4
02/01/2024;19:00;921,7
02/01/2024;20:00;922,4
02/01/2024;21:00;922,7
02/01/2024;22:00;923,0
02/01/2024;23:00;923,0
02/01/2024;24:00;922,8
03/01/2024;01:00;922,2
03/01/2024;02:00;921,6
03/01/2024;03:00;921,2
03/01/2024;04:00;920,8
03/01/2024;05:00;920,8
03/01/2024;06:00;921,0
03/01/2024;07:00;921,2
03/01/2024;08:00;921,6
03/01/2024;09:00;922,0
03/01/2024;10:00;922,1
03/01/2024;11:00;921,9
03/01/2024;12:00;921,3
03/01/2024;13:00;920,5
03/01/2024;14:00;920,5
03/01/2024;15:00;920,8
03/01/2024;16:00;920,5
03/01/2024;17:00;920,4
03/01/2024;18:00;920,7
03/01/2024;19:00;921,4
03/01/2024;20:00;922,0
03/01/2024;21:00;922,2
03/01/2024;22:00;922,2
03/01/2024;23:00;922,4
03/01/2024;24:00;922,2
04/01/2024;01:00;921,8
04/01/2024;02:00;921,3
04/01/2024;03:00;921,3
04/01/2024;04:00;920,8
04/01/2024;05:00;920,8
04/01/2024;06:00;921,2
04/01/2024;07:00;921,6
04/01/2024;08:00;922,1
04/01/2024;09:00;922,5
04/01/2024;10:00;922,7
04/01/2024;11:00;922,6
04/01/2024;12:00;922,4
04/01/2024;13:00;922,4
04/01/2024;14:00;922,2
04/01/2024;15:00;922,1
04/01/2024;16:00;921,7
04/01/2024;17:00;921,6
04/01/2024;18:00;921,6
04/01/2024;19:00;922,3
04/01/2024;20:00;922,9
04/01/2024;21:00;923,5
04/01/2024;22:00;923,9
04/01/2024;23:00;924,1
04/01/2024;24:00;923,8
05/01/2024;01:00;923,2
05/01/2024;02:00;922,5
05/01/2024;03:00;921,8
05/01/2024;04:00;921,5
05/01/2024;05:00;921,7
05/01/2024;06:00;922,2
05/01/2024;07:00;922,7
05/01/2024;08:00;923,0
05/01/2024;09:00;923,3
05/01/2024;10:00;923,7
05/01/2024;11:00;923,7
05/01/2024;12:00;923,4
05/01/2024;13:00;923,1
05/01/2024;14:00;922,8
05/01/2024;15:00;922,7
05/01/2024;16:00;922,4
05/01/2024;17:00;922,1
05/01/2024;18:00;922,2
05/01/2024;19:00;922,7
05/01/2024;20:00;923,2
05/01/2024;21:00;923,7
05/01/2024;22:00;924,2
05/01/2024;23:00;924,4
05/01/2024;24:00;924,2
06/01/2024;01:00;923,5
06/01/2024;02:00;923,0
06/01/2024;03:00;922,7
06/01/2024;04:00;922,5
06/01/2024;05:00;922,8
06/01/2024;06:00;923,1
06/01/2024;07:00;923,6
06/01/2024;08:00;923,9
06/01/2024;09:00;924,3
06/01/2024;10:00;924,4
06/01/2024;11:00;924,1
06/01/2024;12:00;923,9
06/01/2024;13:00;924,0
06/01/2024;14:00;923,8
06/01/2024;15:00;923,4
06/01/2024;16:00;922,9
06/01/2024;17:00;922,7
06/01/2024;18:00;922,7
06/01/2024;19:00;923,2
06/01/2024;20:00;923,8
06/01/2024;21:00;924,3
06/01/2024;22:00;924,6
06/01/2024;23:00;925,1
06/01/2024;24:00;924,6
07/01/2024;01:00;923,8
07/01/2024;02:00;923,3
07/01/2024;03:00;922,8
07/01/2024;04:00;922,6
07/01/2024;05:00;922,6
07/01/2024;06:00;923,1
07/01/2024;07:00;923,3
07/01/2024;08:00;923,9
07/01/2024;09:00;924,1
07/01/2024;10:00;924,2
07/01/2024;11:00;923,9
07/01/2024;12:00;923,5
07/01/2024;13:00;922,8
07/01/2024;14:00;922,1
07/01/2024;15:00;922,0
07/01/2024;16:00;922,0
07/01/2024;17:00;921,8
07/01/2024;18:00;921,7
07/01/2024;19:00;922,2
07/01/2024;20:00;922,6
07/01/2024;21:00;923,4
07/01/2024;22:00;924,0
07/01/2024;23:00;924,0
07/01/2024;24:00;923,5
08/01/2024;01:00;922,8
08/01/2024;02:00;922,5
08/01/2024;03:00;921,9
08/01/2024;04:00;921,6
08/01/2024;05:00;921,5
08/01/2024;06:00;921,9
08/01/2024;07:00;922,4
08/01/2024;08:00;923,0
08/01/2024;09:00;923,1
08/01/2024;10:00;922,9
08/01/2024;11:00;922,8
08/01/2024;12:00;922,6
08/01/2024;13:00;922,1
08/01/2024;14:00;921,4
08/01/2024;15:00;921,0
08/01/2024;16:00;921,7
08/01/2024;17:00;921,7
08/01/2024;18:00;921,2
08/01/2024;19:00;922,4
08/01/2024;20:00;923,1
08/01/2024;21:00;923,7
08/01/2024;22:00;923,6
08/01/2024;23:00;923,8
08/01/2024;24:00;923,1
09/01/2024;01:00;922,9
09/01/2024;02:00;922,8
09/01/2024;03:00;923,1
09/01/2024;04:00;923,3
09/01/2024;05:00;924,7
09/01/2024;06:00;925,5
09/01/2024;07:00;925,8
09/01/2024;08:00;926,1
09/01/2024;09:00;925,9
09/01/2024;10:00;925,6
09/01/2024;11:00;925,1
09/01/2024;12:00;924,7
09/01/2024;13:00;923,9
09/01/2024;14:00;923,0
09/01/2024;15:00;922,0
09/01/2024;16:00;921,4
09/01/2024;17:00;920,9
09/01/2024;18:00;921,6
09/01/2024;19:00;922,3
09/01/2024;20:00;923,1
09/01/2024;21:00;923,9
09/01/2024;22:00;924,5
09/01/2024;23:00;924,9
09/01/2024;24:00;924,8
10/01/2024;01:00;924,4
10/01/2024;02:00;924,1
10/01/2024;03:00;923,7
10/01/2024;04:00;923,7
10/01/2024;05:00;923,8
10/01/2024;06:00;923,7
10/01/2024;07:00;924,0
10/01/2024;08:00;924,1
10/01/2024;09:00;924,2
10/01/2024;10:00;924,3
10/01/2024;11:00;924,0
10/01/2024;12:00;923,4
10/01/2024;13:00;923,0
10/01/2024;14:00;922,5
10/01/2024;15:00;922,0
10/01/2024;16:00;921,6
10/01/2024;17:00;921,5
10/01/2024;18:00;922,2
10/01/2024;19:00;922,7
10/01/2024;20:00;923,4
10/01/2024;21:00;924,4
10/01/2024;22:00;925,1
10/01/2024;23:00;925,5
10/01/2024;24:00;925,3
11/01/2024;01:00;924,4
11/01/2024;02:00;923,5
11/01/2024;03:00;922,6
11/01/2024;04:00;921,8
11/01/2024;05:00;921,6
11/01/2024;06:00;922,1
11/01/2024;07:00;922,9
11/01/2024;08:00;923,2
11/01/2024;09:00;923,3
11/01/2024;10:00;923,5
11/01/2024;11:00;922,9
11/01/2024;12:00;922,7
11/01/2024;13:00;922,5
11/01/2024;14:00;921,7
11/01/2024;15:00;920,8
11/01/2024;16:00;919,9
11/01/2024;17:00;919,5
11/01/2024;18:00;919,7
11/01/2024;19:00;920,7
11/01/2024;20:00;921,3
11/01/2024;21:00;921,7
11/01/2024;22:00;922,1
11/01/2024;23:00;922,3
11/01/2024;24:00;921,6
12/01/2024;01:00;921,2
12/01/2024;02:00;920,8
12/01/2024;03:00;920,6
12/01/2024;04:00;920,4
12/01/2024;05:00;920,1
12/01/2024;06:00;919,8
12/01/2024;07:00;920,1
12/01/2024;08:00;920,9
12/01/2024;09:00;922,0
12/01/2024;10:00;923,1
12/01/2024;11:00;923,3
12/01/2024;12:00;922,6
12/01/2024;13:00;921,8
12/01/2024;14:00;921,6
12/01/2024;15:00;921,2
12/01/2024;16:00;921,2
12/01/2024;17:00;921,0
12/01/2024;18:00;921,4
12/01/2024;19:00;922,2
12/01/2024;20:00;923,1
12/01/2024;21:00;923,9
12/01/2024;22:00;924,5
12/01/2024;23:00;925,0
12/01/2024;24:00;925,0
13/01/2024;01:00;924,6
13/01/2024;02:00;924,2
13/01/2024;03:00;923,7
13/01/2024;04:00;923,4
13/01/2024;05:00;923,5
13/01/2024;06:00;923,9
13/01/2024;07:00;924,8
13/01/2024;08:00;925,2
13/01/2024;09:00;925,5
13/01/2024;10:00;926,1
13/01/2024;11:00;926,4
13/01/2024;12:00;926,4
13/01/2024;13:00;926,1
13/01/2024;14:00;925,9
13/01/2024;15:00;925,3
13/01/2024;16:00;925,0
13/01/2024;17:00;924,9
13/01/2024;18:00;925,3
13/01/2024;19:00;925,8
13/01/2024;20:00;926,3
13/01/2024;21:00;926,7
13/01/2024;22:00;927,1
13/01/2024;23:00;927,5
13/01/2024;24:00;927,6
14/01/2024;01:00;927,2
14/01/2024;02:00;926,6
14/01/2024;03:00;926,1
14/01/2024;04:00;925,8
14/01/2024;05:00;925,6
14/01/2024;06:00;926,0
14/01/2024;07:00;926,5
14/01/2024;08:00;926,7
14/01/2024;09:00;926,8
14/01/2024;10:00;926,6
14/01/2024;11:00;926,2
14/01/2024;12:00;925,6
14/01/2024;13:00;924,9
14/01/2024;14:00;924,5
14/01/2024;15:00;923,9
14/01/2024;16:00;923,3
14/01/2024;17:00;922,8
14/01/2024;18:00;922,7
14/01/2024;19:00;923,0
14/01/2024;20:00;923,4
