Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;258
Nome da estação:;Santos

Data;Hora;Média Horária
;;UR(Umidade Relativa do Ar) - %
01/01/2024;01:00;91
01/01/2024;02:00;90
01/01/2024;03:00;92
01/01/2024;04:00;94
01/01/2024;05:00;96
01/01/2024;06:00;99
01/01/2024;07:00;100
01/01/2024;08:00;89
01/01/2024;09:00;79
01/01/2024;10:00;77
01/01/2024;11:00;74
01/01/2024;12:00;70
01/01/2024;13:00;65
01/01/2024;14:00;65
01/01/2024;15:00;70
01/01/2024;16:00;68
01/01/2024;17:00;65
01/01/2024;18:00;66
01/01/2024;19:00;73
01/01/2024;20:00;77
01/01/2024;21:00;79
01/01/2024;22:00;80
01/01/2024;23:00;81
01/01/2024;24:00;84
02/01/2024;01:00;87
02/01/2024;02:00;92
02/01/2024;03:00;96
02/01/2024;04:00;96
02/01/2024;05:00;98
02/01/2024;06:00;100
02/01/2024;07:00;99
02/01/2024;08:00;76
02/01/2024;09:00;72
02/01/2024;10:00;75
02/01/2024;11:00;71
02/01/2024;12:00;68
02/01/2024;13:00;66
02/01/2024;14:00;65
02/01/2024;15:00;66
02/01/2024;16:00;66
02/01/2024;17:00;69
02/01/2024;18:00;75
02/01/2024;19:00;78
02/01/2024;20:00;85
02/01/2024;21:00;87
02/01/2024;22:00;90
02/01/2024;23:00;92
02/01/2024;24:00;93
03/01/2024;01:00;97
03/01/2024;02:00;100
03/01/2024;03:00;100
03/01/2024;04:00;100
03/01/2024;05:00;100
03/01/2024;06:00;100
03/01/2024;07:00;97
03/01/2024;08:00;87
03/01/2024;09:00;85
03/01/2024;10:00;85
03/01/2024;11:00;87
03/01/2024;12:00;82
03/01/2024;13:00;87
03/01/2024;14:00;93
03/01/2024;15:00;97
03/01/2024;16:00;98
03/01/2024;17:00;99
03/01/2024;18:00;96
03/01/2024;19:00;95
03/01/2024;20:00;94
03/01/2024;21:00;96
03/01/2024;22:00;99
03/01/2024;23:00;100
03/01/2024;24:00;100
04/01/2024;01:00;100
04/01/2024;02:00;100
04/01/2024;03:00;100
04/01/2024;04:00;100
04/01/2024;05:00;100
04/01/2024;06:00;100
04/01/2024;07:00;100
04/01/2024;08:00;100
04/01/2024;09:00;100
04/01/2024;10:00;100
04/01/2024;11:00;100
04/01/2024;12:00;99
04/01/2024;13:00;95
04/01/2024;14:00;100
04/01/2024;15:00;100
04/01/2024;16:00;100
04/01/2024;17:00;100
04/01/2024;18:00;100
04/01/2024;19:00;100
04/01/2024;20:00;100
04/01/2024;21:00;100
04/01/2024;22:00;100
04/01/2024;23:00;100
04/01/2024;24:00;100
05/01/2024;01:00;100
05/01/2024;02:00;100
05/01/2024;03:00;100
05/01/2024;04:00;100
05/01/2024;05:00;100
05/01/2024;06:00;100
05/01/2024;07:00;100
05/01/2024;08:00;100
05/01/2024;09:00;100
05/01/2024;10:00;93
05/01/2024;11:00;79
05/01/2024;12:00;89
05/01/2024;13:00;89
05/01/2024;14:00;79
05/01/2024;15:00;77
05/01/2024;16:00;80
05/01/2024;17:00;81
05/01/2024;18:00;81
05/01/2024;19:00;85
05/01/2024;20:00;90
05/01/2024;21:00;96
05/01/2024;22:00;98
05/01/2024;23:00;100
05/01/2024;24:00;100
06/01/2024;01:00;100
06/01/2024;02:00;100
06/01/2024;03:00;100
06/01/2024;04:00;100
06/01/2024;05:00;100
06/01/2024;06:00;100
06/01/2024;07:00;100
06/01/2024;08:00;100
06/01/2024;09:00;100
06/01/2024;10:00;90
06/01/2024;11:00;80
06/01/2024;12:00;72
06/01/2024;13:00;75
06/01/2024;14:00;75
06/01/2024;15:00;74
06/01/2024;16:00;73
06/01/2024;17:00;74
06/01/2024;18:00;77
06/01/2024;19:00;83
06/01/2024;20:00;89
06/01/2024;21:00;93
06/01/2024;22:00;95
06/01/2024;23:00;94
06/01/2024;24:00;96
07/01/2024;01:00;98
07/01/2024;02:00;99
07/01/2024;03:00;100
07/01/2024;04:00;100
07/01/2024;05:00;100
07/01/2024;06:00;100
07/01/2024;07:00;100
07/01/2024;08:00;77
07/01/2024;09:00;73
07/01/2024;10:00;79
07/01/2024;11:00;66
07/01/2024;12:00;66
07/01/2024;13:00;66
07/01/2024;14:00;66
07/01/2024;15:00;70
07/01/2024;16:00;71
07/01/2024;17:00;72
07/01/2024;18:00;76
07/01/2024;19:00;81
07/01/2024;20:00;88
07/01/2024;21:00;89
07/01/2024;22:00;93
07/01/2024;23:00;97
07/01/2024;24:00;100
08/01/2024;01:00;100
08/01/2024;02:00;100
08/01/2024;03:00;100
08/01/2024;04:00;100
08/01/2024;05:00;100
08/01/2024;06:00;100
08/01/2024;07:00;100
08/01/2024;08:00;83
08/01/2024;09:00;69
08/01/2024;10:00;75
08/01/2024;11:00;80
08/01/2024;12:00;79
08/01/2024;13:00;79
08/01/2024;14:00;75
08/01/2024;15:00;71
08/01/2024;16:00;67
08/01/2024;17:00;72
08/01/2024;18:00;72
08/01/2024;19:00;70
08/01/2024;20:00;77
08/01/2024;21:00;79
08/01/2024;22:00;79
08/01/2024;23:00;81
08/01/2024;24:00;80
09/01/2024;01:00;79
09/01/2024;02:00;88
09/01/2024;03:00;90
09/01/2024;04:00;88
09/01/2024;05:00;92
09/01/2024;06:00;97
09/01/2024;07:00;93
09/01/2024;08:00;79
09/01/2024;09:00;64
09/01/2024;10:00;55
09/01/2024;11:00;49
09/01/2024;12:00;48
09/01/2024;13:00;49
09/01/2024;14:00;54
09/01/2024;15:00;52
09/01/2024;16:00;52
09/01/2024;17:00;56
09/01/2024;18:00;61
09/01/2024;19:00;70
09/01/2024;20:00;83
09/01/2024;21:00;88
09/01/2024;22:00;92
09/01/2024;23:00;94
09/01/2024;24:00;96
10/01/2024;01:00;98
10/01/2024;02:00;100
10/01/2024;03:00;100
10/01/2024;04:00;100
10/01/2024;05:00;98
10/01/2024;06:00;96
10/01/2024;07:00;96
10/01/2024;08:00;85
10/01/2024;09:00;69
10/01/2024;10:00;68
10/01/2024;11:00;64
10/01/2024;12:00;68
10/01/2024;13:00;65
10/01/2024;14:00;65
10/01/2024;15:00;68
10/01/2024;16:00;73
10/01/2024;17:00;77
10/01/2024;18:00;78
10/01/2024;19:00;81
10/01/2024;20:00;83
10/01/2024;21:00;88
10/01/2024;22:00;91
10/01/2024;23:00;91
10/01/2024;24:00;92
11/01/2024;01:00;93
11/01/2024;02:00;92
11/01/2024;03:00;91
11/01/2024;04:00;87
11/01/2024;05:00;90
11/01/2024;06:00;89
11/01/2024;07:00;85
11/01/2024;08:00;64
11/01/2024;09:00;52
11/01/2024;10:00;46
11/01/2024;11:00;42
11/01/2024;12:00;45
11/01/2024;13:00;51
11/01/2024;14:00;50
11/01/2024;15:00;49
11/01/2024;16:00;50
11/01/2024;17:00;53
11/01/2024;18:00;56
11/01/2024;19:00;61
11/01/2024;20:00;92
11/01/2024;21:00;100
11/01/2024;22:00;100
11/01/2024;23:00;100
11/01/2024;24:00;100
12/01/2024;01:00;100
12/01/2024;02:00;100
12/01/2024;03:00;100
12/01/2024;04:00;100
12/01/2024;05:00;98
12/01/2024;06:00;100
12/01/2024;07:00;100
12/01/2024;08:00;98
12/01/2024;09:00;88
12/01/2024;10:00;87
12/01/2024;11:00;78
12/01/2024;12:00;81
12/01/2024;13:00;76
12/01/2024;14:00;89
12/01/2024;15:00;99
12/01/2024;16:00;100
12/01/2024;17:00;100
12/01/2024;18:00;100
12/01/2024;19:00;100
12/01/2024;20:00;100
12/01/2024;21:00;100
12/01/2024;22:00;100
12/01/2024;23:00;100
12/01/2024;24:00;100
13/01/2024;01:00;100
13/01/2024;02:00;100
13/01/2024;03:00;100
13/01/2024;04:00;100
13/01/2024;05:00;100
13/01/2024;06:00;100
13/01/2024;07:00;100
13/01/2024;08:00;100
13/01/2024;09:00;100
13/01/2024;10:00;100
13/01/2024;11:00;100
13/01/2024;12:00;100
13/01/2024;13:00;100
13/01/2024;14:00;87
13/01/2024;15:00;77
13/01/2024;16:00;77
13/01/2024;17:00;81
13/01/2024;18:00;97
13/01/2024;19:00;91
13/01/2024;20:00;94
13/01/2024;21:00;97
13/01/2024;22:00;97
13/01/2024;23:00;98
13/01/2024;24:00;97
14/01/2024;01:00;97
14/01/2024;02:00;98
14/01/2024;03:00;100
14/01/2024;04:00;100
14/01/2024;05:00;100
14/01/2024;06:00;100
14/01/2024;07:00;100
14/01/2024;08:00;74
14/01/2024;09:00;61
14/01/2024;10:00;59
14/01/2024;11:00;70
14/01/2024;12:00;71
14/01/2024;13:00;71
14/01/2024;14:00;72
14/01/2024;15:00;72
14/01/2024;16:00;73
14/01/2024;17:00;77
14/01/2024;18:00;81
14/01/2024;19:00;84
14/01/2024;20:00;87
14/01/2024;21:00;89
14/01/2024;22:00;92
14/01/2024;23:00;94
14/01/2024;24:00;96
15/01/2024;01:00;98
15/01/2024;02:00;100
15/01/2024;03:00;100
15/01/2024;04:00;100
15/01/2024;05:00;100
15/01/2024;06:00;100
15/01/2024;07:00;100
15/01/2024;08:00;81
15/01/2024;09:00;73
15/01/2024;10:00;69
15/01/2024;11:00;66
15/01/2024;12:00;74
15/01/2024;13:00;74
15/01/2024;14:00;71
