Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;292
Nome da estação:;Rio Claro-Jd.Guanabara

Data;Hora;Média Horária
;;PRESS(Pressão Atmosférica) - hPa
01/01/2024;01:00;944,7
01/01/2024;02:00;944,4
01/01/2024;03:00;944,0
01/01/2024;04:00;943,3
01/01/2024;05:00;943,1
01/01/2024;06:00;943,4
01/01/2024;07:00;943,8
01/01/2024;08:00;944,1
01/01/2024;09:00;944,5
01/01/2024;10:00;944,7
01/01/2024;11:00;944,7
01/01/2024;12:00;944,4
01/01/2024;13:00;944,2
01/01/2024;14:00;943,1
01/01/2024;15:00;941,9
01/01/2024;16:00;941,0
01/01/2024;17:00;940,4
01/01/2024;18:00;940,2
01/01/2024;19:00;940,2
01/01/2024;20:00;941,0
01/01/2024;21:00;942,2
01/01/2024;22:00;943,0
01/01/2024;23:00;943,7
01/01/2024;24:00;943,8
02/01/2024;01:00;943,5
02/01/2024;02:00;943,0
02/01/2024;03:00;942,3
02/01/2024;04:00;942,2
02/01/2024;05:00;942,2
02/01/2024;06:00;942,6
02/01/2024;07:00;943,0
02/01/2024;08:00;943,4
02/01/2024;09:00;943,3
02/01/2024;10:00;942,8
02/01/2024;11:00;942,3
02/01/2024;12:00;941,9
02/01/2024;13:00;941,4
02/01/2024;14:00;940,8
02/01/2024;15:00;940,0
02/01/2024;16:00;939,0
02/01/2024;17:00;938,6
02/01/2024;18:00;938,4
02/01/2024;19:00;938,6
02/01/2024;20:00;939,7
02/01/2024;21:00;940,9
02/01/2024;22:00;941,4
02/01/2024;23:00;941,7
02/01/2024;24:00;941,7
03/01/2024;01:00;941,6
03/01/2024;02:00;941,3
03/01/2024;03:00;941,0
03/01/2024;04:00;940,5
03/01/2024;05:00;940,5
03/01/2024;06:00;940,8
03/01/2024;07:00;941,4
03/01/2024;08:00;941,9
03/01/2024;09:00;942,0
03/01/2024;10:00;941,9
03/01/2024;11:00;941,8
