Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;87
Nome da estação:;Cubatão-Centro

Data;Hora;Média Horária
;;O3(Ozônio) - µg/m3
01/01/2024;01:00;25
01/01/2024;02:00;12
01/01/2024;03:00;7
01/01/2024;04:00;4
01/01/2024;05:00;3
01/01/2024;06:00;2
01/01/2024;07:00;7
01/01/2024;08:00;28
01/01/2024;09:00;45
01/01/2024;10:00;40
01/01/2024;11:00;42
01/01/2024;12:00;43
01/01/2024;13:00;45
01/01/2024;14:00;49
01/01/2024;15:00;49
01/01/2024;16:00;45
01/01/2024;17:00;45
01/01/2024;18:00;42
01/01/2024;19:00;45
01/01/2024;20:00;34
01/01/2024;21:00;23
01/01/2024;22:00;31
01/01/2024;23:00;13
01/01/2024;24:00;2
02/01/2024;01:00;0
02/01/2024;02:00;0
02/01/2024;03:00;0
02/01/2024;04:00;1
02/01/2024;05:00;0
02/01/2024;06:00;0
02/01/2024;07:00;2
02/01/2024;08:00;5
02/01/2024;09:00;6
02/01/2024;10:00;28
02/01/2024;11:00;55
02/01/2024;12:00;60
02/01/2024;13:00;73
02/01/2024;14:00;62
02/01/2024;15:00;60
02/01/2024;16:00;52
02/01/2024;17:00;65
02/01/2024;18:00;54
02/01/2024;19:00;52
02/01/2024;20:00;38
02/01/2024;21:00;18
02/01/2024;22:00;1
02/01/2024;23:00;0
02/01/2024;24:00;0
03/01/2024;01:00;0
03/01/2024;02:00;0
03/01/2024;03:00;0
03/01/2024;04:00;0
03/01/2024;05:00;0
03/01/2024;06:00;0
03/01/2024;07:00;2
03/01/2024;08:00;14
03/01/2024;09:00;21
03/01/2024;10:00;20
03/01/2024;11:00;42
03/01/2024;12:00;50
03/01/2024;13:00;53
03/01/2024;14:00;58
03/01/2024;15:00;49
03/01/2024;16:00;35
03/01/2024;17:00;29
03/01/2024;18:00;23
03/01/2024;19:00;15
03/01/2024;20:00;1
03/01/2024;21:00;0
03/01/2024;22:00;0
03/01/2024;23:00;1
03/01/2024;24:00;11
04/01/2024;01:00;6
04/01/2024;02:00;22
04/01/2024;03:00;18
04/01/2024;04:00;3
04/01/2024;05:00;0
04/01/2024;06:00;0
04/01/2024;07:00;1
04/01/2024;08:00;2
04/01/2024;09:00;18
04/01/2024;10:00;33
04/01/2024;11:00;25
04/01/2024;12:00;20
04/01/2024;13:00;36
04/01/2024;14:00;21
04/01/2024;15:00;27
04/01/2024;16:00;17
04/01/2024;17:00;17
04/01/2024;18:00;15
04/01/2024;19:00;9
04/01/2024;20:00;3
04/01/2024;21:00;11
04/01/2024;22:00;3
04/01/2024;23:00;4
04/01/2024;24:00;1
05/01/2024;01:00;0
05/01/2024;02:00;0
05/01/2024;03:00;0
05/01/2024;04:00;0
05/01/2024;05:00;0
05/01/2024;06:00;1
05/01/2024;07:00;1
05/01/2024;08:00;18
05/01/2024;09:00;27
05/01/2024;10:00;38
05/01/2024;11:00;46
05/01/2024;12:00;44
05/01/2024;13:00;38
05/01/2024;14:00;27
05/01/2024;15:00;19
05/01/2024;16:00;22
05/01/2024;17:00;20
05/01/2024;18:00;10
05/01/2024;19:00;1
05/01/2024;20:00;0
05/01/2024;21:00;0
05/01/2024;22:00;1
05/01/2024;23:00;1
05/01/2024;24:00;0
06/01/2024;01:00;0
06/01/2024;02:00;1
06/01/2024;03:00;2
06/01/2024;04:00;2
06/01/2024;05:00;1
06/01/2024;06:00;6
06/01/2024;07:00;16
06/01/2024;08:00;20
06/01/2024;09:00;22
06/01/2024;10:00;35
06/01/2024;11:00;36
06/01/2024;12:00;30
06/01/2024;13:00;42
06/01/2024;14:00;40
06/01/2024;15:00;37
06/01/2024;16:00;38
06/01/2024;17:00;28
06/01/2024;18:00;24
06/01/2024;19:00;26
06/01/2024;20:00;26
06/01/2024;21:00;21
06/01/2024;22:00;19
06/01/2024;23:00;3
06/01/2024;24:00;1
07/01/2024;01:00;0
07/01/2024;02:00;0
07/01/2024;03:00;0
07/01/2024;04:00;0
07/01/2024;05:00;0
07/01/2024;06:00;0
07/01/2024;07:00;1
07/01/2024;08:00;9
07/01/2024;09:00;27
07/01/2024;10:00;33
07/01/2024;11:00;47
07/01/2024;12:00;54
07/01/2024;13:00;64
07/01/2024;14:00;53
07/01/2024;15:00;48
07/01/2024;16:00;41
07/01/2024;17:00;45
07/01/2024;18:00;35
07/01/2024;19:00;30
07/01/2024;20:00;28
07/01/2024;21:00;7
07/01/2024;22:00;0
07/01/2024;23:00;0
07/01/2024;24:00;0
08/01/2024;01:00;0
08/01/2024;02:00;1
08/01/2024;03:00;1
08/01/2024;04:00;4
08/01/2024;05:00;3
08/01/2024;06:00;3
08/01/2024;07:00;5
08/01/2024;08:00;13
08/01/2024;09:00;22
08/01/2024;10:00;43
08/01/2024;11:00;69
08/01/2024;12:00;92
08/01/2024;13:00;114
08/01/2024;14:00;117
08/01/2024;15:00;130
08/01/2024;16:00;124
08/01/2024;17:00;98
08/01/2024;18:00;112
08/01/2024;19:00;74
08/01/2024;20:00;46
08/01/2024;21:00;35
08/01/2024;22:00;26
08/01/2024;23:00;20
08/01/2024;24:00;8
09/01/2024;01:00;27
09/01/2024;02:00;15
09/01/2024;03:00;20
09/01/2024;04:00;29
09/01/2024;05:00;39
09/01/2024;06:00;64
09/01/2024;07:00;11
09/01/2024;08:00;41
09/01/2024;09:00;74
09/01/2024;10:00;74
09/01/2024;11:00;88
09/01/2024;12:00;145
09/01/2024;13:00;144
09/01/2024;14:00;115
09/01/2024;15:00;120
09/01/2024;16:00;119
09/01/2024;17:00;97
09/01/2024;18:00;90
09/01/2024;19:00;78
09/01/2024;20:00;55
09/01/2024;21:00;32
09/01/2024;22:00;33
09/01/2024;23:00;37
09/01/2024;24:00;32
10/01/2024;01:00;2
10/01/2024;02:00;18
10/01/2024;03:00;42
10/01/2024;04:00;32
10/01/2024;05:00;25
10/01/2024;06:00;5
10/01/2024;07:00;14
10/01/2024;08:00;44
10/01/2024;09:00;57
10/01/2024;10:00;66
10/01/2024;11:00;96
10/01/2024;12:00;123
10/01/2024;13:00;122
10/01/2024;14:00;120
10/01/2024;15:00;115
10/01/2024;16:00;94
10/01/2024;17:00;75
10/01/2024;18:00;74
10/01/2024;19:00;59
10/01/2024;20:00;52
10/01/2024;21:00;6
10/01/2024;22:00;7
10/01/2024;23:00;12
10/01/2024;24:00;8
11/01/2024;01:00;20
11/01/2024;02:00;31
11/01/2024;03:00;45
11/01/2024;04:00;56
11/01/2024;05:00;31
11/01/2024;06:00;11
11/01/2024;07:00;15
11/01/2024;08:00;30
11/01/2024;09:00;42
11/01/2024;10:00;53
11/01/2024;11:00;77
11/01/2024;12:00;108
11/01/2024;13:00;117
11/01/2024;14:00;125
11/01/2024;15:00;145
11/01/2024;16:00;140
11/01/2024;17:00;131
11/01/2024;18:00;122
11/01/2024;19:00;68
11/01/2024;20:00;39
11/01/2024;21:00;24
11/01/2024;22:00;0
11/01/2024;23:00;7
11/01/2024;24:00;21
12/01/2024;01:00;23
12/01/2024;02:00;36
12/01/2024;03:00;50
12/01/2024;04:00;21
12/01/2024;05:00;3
12/01/2024;06:00;0
12/01/2024;07:00;4
12/01/2024;08:00;17
12/01/2024;09:00;23
12/01/2024;10:00;28
12/01/2024;11:00;41
12/01/2024;12:00;56
12/01/2024;13:00;65
12/01/2024;14:00;53
